BIM;Afghanistan
BST;Afghanistan
BPM;Afghanistan
CCN;Afghanistan
FBD;Afghanistan
FAH;Afghanistan
GRG;Afghanistan
HEA;Afghanistan
JAA;Afghanistan
KBL;Afghanistan
KDH;Afghanistan
KHT;Afghanistan
KWH;Afghanistan
UND;Afghanistan
MMZ;Afghanistan
MZR;Afghanistan
SGA;Afghanistan
ZAJ;Afghanistan
TIA;Albania
AZR;Algeria
ALG;Algeria
AAE;Algeria
BJA;Algeria
BMW;Algeria
BUJ;Algeria
CZL;Algeria
DJG;Algeria
ELG;Algeria
ELU;Algeria
GHA;Algeria
HME;Algeria
INF;Algeria
INZ;Algeria
GJL;Algeria
ORN;Algeria
OGX;Algeria
TMR;Algeria
TEE;Algeria
TID;Algeria
TMX;Algeria
TLM;Algeria
TGR;Algeria
IAM;Algeria
AZZ;Angola
BUG;Angola
CAB;Angola
NOV;Angola
SVP;Angola
LAD;Angola
SDD;Angola
LUO;Angola
SSY;Angola
MEG;Angola
SPP;Angola
NGV;Angola
ARZ;Angola
GXG;Angola
PBN;Angola
VHC;Angola
SZA;Angola
UGO;Angola
CEO;Angola
XGN;Angola
AXA;Anguilla
BBQ;Antigua and Barbuda
ANU;Antigua and Barbuda
ARR;Argentina
BHI;Argentina
BRC;Argentina
AEP;Argentina
CTC;Argentina
CRD;Argentina
COR;Argentina
EQS;Argentina
EZE;Argentina
FMA;Argentina
GPO;Argentina
IRJ;Argentina
LGS;Argentina
MDQ;Argentina
MDZ;Argentina
PRA;Argentina
PSS;Argentina
IGR;Argentina
PMY;Argentina
RCQ;Argentina
RES;Argentina
RCU;Argentina
RGL;Argentina
RGA;Argentina
ROS;Argentina
SLA;Argentina
FDO;Argentina
UAQ;Argentina
LUQ;Argentina
AFA;Argentina
RSA;Argentina
SDE;Argentina
TUC;Argentina
USH;Argentina
VDM;Argentina
VME;Argentina
EVN;Armenia
AUA;Aruba
ADL;Australia
ALH;Australia
ABX;Australia
ASP;Australia
ABH;Australia
ARY;Australia
ARM;Australia
AVV;Australia
BSJ;Australia
BNK;Australia
BZD;Australia
BWU;Australia
BHS;Australia
BRT;Australia
BEU;Australia
BLN;Australia
BKQ;Australia
BLT;Australia
BQL;Australia
BRK;Australia
BWQ;Australia
MHU;Australia
BNE;Australia
BHQ;Australia
BME;Australia
BDB;Australia
BWT;Australia
BQB;Australia
CNS;Australia
HBA;Australia
CDU;Australia
CBR;Australia
CVQ;Australia
CED;Australia
CTL;Australia
CCL;Australia
XCH;Australia
CMQ;Australia
CVC;Australia
CNJ;Australia
CAZ;Australia
CCK;Australia
CUQ;Australia
CFS;Australia
CRB;Australia
CPD;Australia
OOL;Australia
OOM;Australia
COJ;Australia
CNB;Australia
CMD;Australia
CWW;Australia
CYG;Australia
CWT;Australia
CKI;Australia
CUY;Australia
DRW;Australia
DNO;Australia
DRB;Australia
DPO;Australia
DRN;Australia
DBO;Australia
DYA;Australia
ECH;Australia
ELC;Australia
EMD;Australia
EPR;Australia
MEB;Australia
LEA;Australia
FIZ;Australia
FLS;Australia
FRB;Australia
FOS;Australia
GET;Australia
GLT;Australia
GLI;Australia
GUL;Australia
GFN;Australia
GFF;Australia
GTE;Australia
GUH;Australia
HCQ;Australia
HLT;Australia
HTI;Australia
HXX;Australia
HVB;Australia
HTU;Australia
HID;Australia
HSM;Australia
IVR;Australia
JAD;Australia
KGI;Australia
KTA;Australia
KRB;Australia
KPS;Australia
KRA;Australia
KNS;Australia
KGY;Australia
KGC;Australia
KWM;Australia
KNX;Australia
LST;Australia
LGH;Australia
LER;Australia
LNO;Australia
LHG;Australia
LSY;Australia
IRG;Australia
LRE;Australia
LDH;Australia
MKY;Australia
XMC;Australia
MNG;Australia
MRG;Australia
MCY;Australia
SYD;Australia
MKR;Australia
SNB;Australia
GPN;Australia
MIM;Australia
MQL;Australia
MBW;Australia
MOV;Australia
MRZ;Australia
MYA;Australia
LTB;Australia
MGB;Australia
ISA;Australia
WME;Australia
MMG;Australia
DGE;Australia
NAA;Australia
NRA;Australia
QRM;Australia
NTL;Australia
ZNE;Australia
GOV;Australia
NLK;Australia
NTN;Australia
OAG;Australia
RBS;Australia
PBO;Australia
PKE;Australia
PUG;Australia
PHE;Australia
PKT;Australia
PLO;Australia
PQQ;Australia
PPI;Australia
PTJ;Australia
PPP;Australia
