OABN;Afghanistan
OABT;Afghanistan
OAIX;Afghanistan
OACC;Afghanistan
OAFZ;Afghanistan
OAFR;Afghanistan
OAGZ;Afghanistan
OAHR;Afghanistan
OAJL;Afghanistan
OAKB;Afghanistan
OAKN;Afghanistan
OAKS;Afghanistan
OAHN;Afghanistan
OAUZ;Afghanistan
OAMN;Afghanistan
OAMS;Afghanistan
OASN;Afghanistan
OAZJ;Afghanistan
LATI;Albania
DAUA;Algeria
DAAG;Algeria
DABB;Algeria
DAAE;Algeria
DATM;Algeria
DAAD;Algeria
DABC;Algeria
DAAJ;Algeria
DAUE;Algeria
DAUO;Algeria
DAUG;Algeria
DAUH;Algeria
DATG;Algeria
DAUI;Algeria
DAAV;Algeria
DAOO;Algeria
DAUU;Algeria
DAAT;Algeria
DABS;Algeria
DAOB;Algeria
DAUT;Algeria
DAON;Algeria
DAUK;Algeria
DAUZ;Algeria
FNAM;Angola
FNBG;Angola
FNCA;Angola
FNHU;Angola
FNKU;Angola
FNLU;Angola
FNUB;Angola
FNUE;Angola
FNBC;Angola
FNMA;Angola
FNME;Angola
FNGI;Angola
FNZE;Angola
FNNG;Angola
FNPA;Angola
FNSA;Angola
FNSO;Angola
FNUG;Angola
FNWK;Angola
FNXA;Angola
TQPF;Anguilla
TAPH;Antigua and Barbuda
TAPA;Antigua and Barbuda
SAVR;Argentina
SAZB;Argentina
SAZS;Argentina
SABE;Argentina
SANC;Argentina
SAVC;Argentina
SACO;Argentina
SAVE;Argentina
SAEZ;Argentina
SARF;Argentina
SAZG;Argentina
SANL;Argentina
SAMM;Argentina
SAZM;Argentina
SAME;Argentina
SAAP;Argentina
SARP;Argentina
SARI;Argentina
SAVY;Argentina
SATR;Argentina
SARE;Argentina
SAOC;Argentina
SAWG;Argentina
SAWE;Argentina
SAAR;Argentina
SASA;Argentina
SADF;Argentina
SANU;Argentina
SAOU;Argentina
SAMR;Argentina
SAZR;Argentina
SANE;Argentina
SANT;Argentina
SAWH;Argentina
SAVV;Argentina
SAOR;Argentina
UGEE;Armenia
TNCA;Aruba (Netherlands)
YPAD;Australia
YABA;Australia
YMAY;Australia
YBAS;Australia
YAPH;Australia
YARA;Australia
YARM;Australia
YAVV;Australia
YBNS;Australia
YBNA;Australia
YBRN;Australia
YSBK;Australia
YBTH;Australia
YBTI;Australia
YBIE;Australia
YBLA;Australia
YBCK;Australia
YBTR;Australia
YBOU;Australia
YBKE;Australia
YBRW;Australia
YHOT;Australia
YBBN;Australia
YBHI;Australia
YBRM;Australia
YBUD;Australia
YWYY;Australia
YBLN;Australia
YBCS;Australia
YMHB;Australia
YSCN;Australia
YSCB;Australia
YCAR;Australia
YCDU;Australia
YBCV;Australia
YCCA;Australia
YPXM;Australia
YCMT;Australia
YCEE;Australia
YCCY;Australia
YCBA;Australia
YPCC;Australia
YCOE;Australia
YSCH;Australia
YCBR;Australia
YCBP;Australia
YBCG;Australia
YCOM;Australia
YCBB;Australia
YCNM;Australia
YCTM;Australia
YCOR;Australia
YCRG;Australia
YCWR;Australia
YCKI;Australia
YCUE;Australia
YPDN;Australia
YDLQ;Australia
YDBY;Australia
YDPO;Australia
YDBI;Australia
YSDU;Australia
YDYS;Australia
YECH;Australia
YELD;Australia
YEML;Australia
YESP;Australia
YMEN;Australia
YPLM;Australia
YFTZ;Australia
YFLI;Australia
YFBS;Australia
YFRT;Australia
YGEL;Australia
YGLA;Australia
YGLI;Australia
YGLB;Australia
YGFN;Australia
YGTH;Australia
YGTE;Australia
YGDH;Australia
YHLC;Australia
YHML;Australia
YBHM;Australia
YHAY;Australia
YHBA;Australia
YHPN;Australia
YHID;Australia
YHSM;Australia
YIVL;Australia
YPJT;Australia
YPKG;Australia
YPKA;Australia
YKMB;Australia
YKMP;Australia
YKER;Australia
YKII;Australia
YKRY;Australia
YKSC;Australia
YKOW;Australia
YPKU;Australia
YMLT;Australia
YLEC;Australia
YLST;Australia
YLEO;Australia
YLRD;Australia
YLIS;Australia
YLHR;Australia
YLRE;Australia
YLHI;Australia
YBMK;Australia
YMCO;Australia
YMGD;Australia
YMBA;Australia
YBMC;Australia
YSSY;Australia
YMEK;Australia
YSNB;Australia
YGPT;Australia
YMER;Australia
YMIA;Australia
YMMB;Australia
YMRB;Australia
YMOR;Australia
YMRY;Australia
YLTV;Australia
YMTG;Australia
YBMA;Australia
YMNE;Australia
YMOG;Australia
YMDG;Australia
YNBR;Australia
YNAR;Australia
YNRM;Australia
YWLM;Australia
YNWN;Australia
YPGV;Australia
YSNF;Australia
YNTN;Australia
YORG;Australia
YORB;Australia
